asset_return,date
0.233763149235475,2005-01-31
-0.0288988145034342,2005-02-28
0.0006193654776038,2005-03-31
0.3695634562880727,2005-04-30
0.2029051474483442,2005-05-31
-0.1163850400538102,2005-06-30
-0.0804982945490824,2005-07-31
-0.9327584424241318,2005-08-31
0.3188739788392657,2005-09-30
0.1384230426677176,2005-10-31
-0.1054595359339426,2005-11-30
-0.0335645735071341,2005-12-31
-0.1734478036387745,2006-01-31
-0.1419486251662635,2006-02-28
0.4006929992595364,2006-03-31
-0.1146897535378277,2006-04-30
-0.5281164686434854,2006-05-31
0.1646317005761763,2006-06-30
0.461252851455402,2006-07-31
-0.1841722604927872,2006-08-31
-0.2822824830874965,2006-09-30
0.681090206781533,2006-10-31
0.7810297815981323,2006-11-30
-0.2681732969255492,2006-12-31
0.1716002415796854,2007-01-31
