term,coefficient_baseline,std_error_baseline,t_stat_baseline,p_value_baseline,coefficient_variant,std_error_variant,t_stat_variant,p_value_variant
C(firm_id)[T.firm_02],-0.5825631130142281,0.23600753442905756,-2.4684089617034792,0.013571516866955556,-0.5822015282335813,0.23822150233048373,-2.443950367779544,0.014527424928029376
C(firm_id)[T.firm_03],-0.3995279110347349,0.2518911441441889,-1.5861133681064823,0.11271359490932988,-0.3997452569441628,0.25359873821986567,-1.576290401719549,0.11495889263845359
C(firm_id)[T.firm_04],0.3893831327681529,0.23256290941147487,1.6743131299549368,0.09406907538293062,0.38971349690767815,0.23622845976531262,1.649731354532173,0.09899789426326186
C(firm_id)[T.firm_05],-0.11184462414281932,0.2576396060900791,-0.434112696569311,0.6642066060407761,-0.11195942366630904,0.2603390129569218,-0.43005242431657725,0.6671575067468976
C(firm_id)[T.firm_06],-0.569627046387747,0.26934018447241587,-2.114898107400994,0.03443863253902272,-0.5794178915986005,0.2722526493016463,-2.1282360082991367,0.033317520727166636
C(firm_id)[T.firm_07],0.13550320932070958,0.27752592458712927,0.4882542397518195,0.6253697698712151,0.12729799675763592,0.2792613269978684,0.45583825775707065,0.648506290827239
C(firm_id)[T.firm_08],-0.6107364997218196,0.2735748122437111,-2.2324295673015095,0.025586585458308792,-0.6178746312655072,0.2724783289921957,-2.2676101749112103,0.02335297697558268
C(firm_id)[T.firm_09],0.5661349156984161,0.2770154572316387,2.043694317118981,0.04098375498243109,0.5596583947829594,0.2750662830354832,2.0346310300443626,0.04188801269218294
C(firm_id)[T.firm_10],-0.959224189664925,0.29181070813427873,-3.287145272350771,0.0010120860850415853,-0.9798580096653149,0.2937727210596554,-3.335428851701784,0.0008516794455345345
C(firm_id)[T.firm_11],-1.0242043901440325,0.2930605188708616,-3.4948562641266347,0.00047431711675808045,-1.054998982387977,0.2941230081855088,-3.5869311581451315,0.00033459261261324386
C(firm_id)[T.firm_12],0.2058542350714369,0.31506228131281916,0.6533763236071038,0.5135136987270572,0.1755884773197589,0.3152407051952795,0.5569981110497408,0.5775287197886314
C(firm_id)[T.firm_13],0.1424947544033695,0.36143162770116233,0.39425092737370104,0.6933957895147039,0.11014015284185896,0.36097249141572557,0.3051206268097934,0.7602742818807021
C(firm_id)[T.firm_14],-0.7555279467767536,0.3517375345251634,-2.147987839275376,0.031714721531285274,-0.7862425911719445,0.3521736724503157,-2.232542216178487,0.0255791483082507
C(firm_id)[T.firm_15],-0.883383738854667,0.3847530886472847,-2.295975691736403,0.021677271294167206,-0.9128171636245811,0.38434950079438984,-2.3749664348150104,0.01755054607158304
C(firm_id)[T.firm_16],-0.8916562581145359,0.39080730768434074,-2.2815751921270016,0.022514432739882115,-0.9308423858894972,0.3897998095683191,-2.3880011304273125,0.016940289676523366
C(firm_id)[T.firm_17],0.2722600797313298,0.4225436330715921,0.6443360127146928,0.5193575677231841,0.23299502840242897,0.4216909221703346,0.5525255967172913,0.5805883022438089
C(firm_id)[T.firm_18],0.23488684358522038,0.4137518005878441,0.5676998704331954,0.57023877955877,0.1952868846894441,0.4128666871172612,0.47300228084030255,0.6362115519349647
C(month_index)[T.10],1.165445377461782,0.31935186979746655,3.6494083413411955,0.0002628450035503451,1.1615705452101608,0.32155712983084367,3.6123302438394362,0.00030345775888507146
C(month_index)[T.11],1.2552848165043524,0.3144485240292438,3.9920200623603836,6.551282869223703e-05,1.2518850656355092,0.3171696483561103,3.9470519077850836,7.911940816573554e-05
C(month_index)[T.12],1.2388407025097017,0.34877910447832555,3.5519349829246663,0.0003824093394266007,1.234956424918729,0.35034838609177604,3.524938244171686,0.0004235815273488348
C(month_index)[T.13],1.4449121981372848,0.3203361708677883,4.510612068012889,6.464083995382941e-06,1.563826573753551,0.3341822367654588,4.6795622319420325,2.8748809033771085e-06
C(month_index)[T.14],1.3563088649153583,0.3452935398099485,3.9279879538490015,8.565950040825355e-05,1.447076948095095,0.3334049024327892,4.340298950423532,1.4228900294816663e-05
C(month_index)[T.15],1.8750864579221875,0.28505382782496863,6.578008344001419,4.7679147965170885e-11,1.9743346674353937,0.2760549127230083,7.151963527692869,8.55453010733738e-13
C(month_index)[T.16],1.9447435078726745,0.31308588599076337,6.211533623492846,5.246996045327157e-10,2.0503142439560955,0.30040679948650423,6.825125954075503,8.784820530594425e-12
C(month_index)[T.17],1.9311531840896543,0.31597566437694774,6.111714925570525,9.856614087176415e-10,1.9501841143102792,0.3178382213705023,6.13577594884965,8.474452371532922e-10
C(month_index)[T.18],1.6763249755068275,0.3317500552678423,5.052975723405462,4.3497920431427497e-07,1.686106225029044,0.3321949952327526,5.075652099597927,3.861693018701385e-07
C(month_index)[T.19],2.2687522708551016,0.3344142269673723,6.784257629913743,1.1668494428574132e-11,2.268557327907014,0.3368619417387143,6.734382982529418,1.6462703066462395e-11
C(month_index)[T.20],2.2911929528050043,0.3404003447031756,6.730877299207476,1.686431392795677e-11,2.2813036760096885,0.34165865963897213,6.677142849007027,2.4364544094204023e-11
