term,coefficient,std_error,t_stat,p_value
Intercept,3.6122277068078454,1.4358400907601934,2.5157590528729297,0.011877635286918162
C(firm_id)[T.firm_02],-0.5822015282335813,0.23822150233048373,-2.443950367779544,0.014527424928029376
C(firm_id)[T.firm_03],-0.3997452569441628,0.25359873821986567,-1.576290401719549,0.11495889263845359
C(firm_id)[T.firm_04],0.38971349690767815,0.23622845976531262,1.649731354532173,0.09899789426326186
C(firm_id)[T.firm_05],-0.11195942366630904,0.2603390129569218,-0.43005242431657725,0.6671575067468976
C(firm_id)[T.firm_06],-0.5794178915986005,0.2722526493016463,-2.1282360082991367,0.033317520727166636
C(firm_id)[T.firm_07],0.12729799675763592,0.2792613269978684,0.45583825775707065,0.648506290827239
C(firm_id)[T.firm_08],-0.6178746312655072,0.2724783289921957,-2.2676101749112103,0.02335297697558268
C(firm_id)[T.firm_09],0.5596583947829594,0.2750662830354832,2.0346310300443626,0.04188801269218294
C(firm_id)[T.firm_10],-0.9798580096653149,0.2937727210596554,-3.335428851701784,0.0008516794455345345
C(firm_id)[T.firm_11],-1.054998982387977,0.2941230081855088,-3.5869311581451315,0.00033459261261324386
C(firm_id)[T.firm_12],0.1755884773197589,0.3152407051952795,0.5569981110497408,0.5775287197886314
C(firm_id)[T.firm_13],0.11014015284185896,0.36097249141572557,0.3051206268097934,0.7602742818807021
C(firm_id)[T.firm_14],-0.7862425911719445,0.3521736724503157,-2.232542216178487,0.0255791483082507
C(firm_id)[T.firm_15],-0.9128171636245811,0.38434950079438984,-2.3749664348150104,0.01755054607158304
C(firm_id)[T.firm_16],-0.9308423858894972,0.3897998095683191,-2.3880011304273125,0.016940289676523366
C(firm_id)[T.firm_17],0.23299502840242897,0.4216909221703346,0.5525255967172913,0.5805883022438089
C(firm_id)[T.firm_18],0.1952868846894441,0.4128666871172612,0.47300228084030255,0.6362115519349647
C(month_index)[T.2],0.19187720421929733,0.3185500923290963,0.6023454672901731,0.5469442014878023
C(month_index)[T.3],0.49025810099515876,0.2547942503525816,1.9241332970298382,0.05433787739413579
C(month_index)[T.4],0.6945085344760891,0.37317140364055645,1.861097950434189,0.06273034560892195
C(month_index)[T.5],0.40591594372987383,0.31507748438239147,1.2883051434968198,0.19763976337713007
C(month_index)[T.6],0.6758416770820332,0.26355244147776175,2.5643536948188737,0.010336814835160427
C(month_index)[T.7],1.0847543219759215,0.29914124847937373,3.626227835479255,0.0002875916316928274
C(month_index)[T.8],0.6239223870873571,0.34560364956020334,1.8053119169352734,0.07102588587614299
C(month_index)[T.9],1.1016419960169035,0.2668145410956279,4.128867907623028,3.645537525509503e-05
C(month_index)[T.10],1.1615705452101608,0.32155712983084367,3.6123302438394362,0.00030345775888507146
C(month_index)[T.11],1.2518850656355092,0.3171696483561103,3.9470519077850836,7.911940816573554e-05
C(month_index)[T.12],1.234956424918729,0.35034838609177604,3.524938244171686,0.0004235815273488348
C(month_index)[T.13],1.563826573753551,0.3341822367654588,4.6795622319420325,2.8748809033771085e-06
C(month_index)[T.14],1.447076948095095,0.3334049024327892,4.340298950423532,1.4228900294816663e-05
C(month_index)[T.15],1.9743346674353937,0.2760549127230083,7.151963527692869,8.55453010733738e-13
C(month_index)[T.16],2.0503142439560955,0.30040679948650423,6.825125954075503,8.784820530594425e-12
C(month_index)[T.17],1.9501841143102792,0.3178382213705023,6.13577594884965,8.474452371532922e-10
C(month_index)[T.18],1.686106225029044,0.3321949952327526,5.075652099597927,3.861693018701385e-07
C(month_index)[T.19],2.268557327907014,0.3368619417387143,6.734382982529418,1.6462703066462395e-11
C(month_index)[T.20],2.2813036760096885,0.34165865963897213,6.677142849007027,2.4364544094204023e-11
C(month_index)[T.21],2.3981981958012897,0.35119295134742695,6.828719615812586,8.56758359791457e-12
C(month_index)[T.22],2.4379552035488405,0.325048714242889,7.50027641003713,6.368339872894902e-14
C(month_index)[T.23],2.621547915689601,0.3295998529474596,7.953729020951637,1.8097974934515082e-15
C(month_index)[T.24],3.079671812052604,0.3152412831996294,9.769252874479559,1.5257302053501132e-22
C(month_index)[T.25],2.8090314567374834,0.36545069204333375,7.686485531143553,1.512317801463643e-14
C(month_index)[T.26],3.043026755156035,0.32786742057245016,9.281272136899021,1.6746697333569978e-20
C(month_index)[T.27],3.1793514678750143,0.3784421027151874,8.401156861417636,4.421013674843498e-17
C(month_index)[T.28],3.1934944492577593,0.3415954515058271,9.348761627767995,8.867990068102571e-21
C(month_index)[T.29],3.619366341220954,0.38557621311098134,9.386902558169954,6.17906374700137e-21
C(month_index)[T.30],3.5646491423632902,0.3256059455708591,10.947739716833713,6.81263855571807e-28
C(month_index)[T.31],3.501392518225179,0.37407020401035096,9.360255055567835,7.954443899515903e-21
C(month_index)[T.32],3.3710202251958803,0.34081414028020374,9.89108087599993,4.5508742844332575e-23
C(month_index)[T.33],3.981190831353005,0.4098731318523665,9.713227147533551,2.6481712177969107e-22
C(month_index)[T.34],3.82627978925714,0.33925360197838333,11.278523697151325,1.6753382651564754e-29
C(month_index)[T.35],4.11491164175117,0.37445751148967227,10.98899478710193,4.317072600271343e-28
C(month_index)[T.36],3.794036483451201,0.38121939848251557,9.95236994380078,2.462478473495316e-23
event_m5,-0.7367052644031893,0.375523708376481,-1.961807598215892,0.04978488873934579
event_m4,-0.4191935092611766,0.22457153726302004,-1.8666368604415515,0.06195231647694299
event_m3,-0.12090671290032107,0.3297337130284372,-0.366679863547631,0.7138578284670751
event_m2,-0.5971515683962832,0.38649252319724936,-1.545053351760501,0.12233335905003243
event_p0,-0.12431876953047405,0.3962010164677456,-0.31377700804206476,0.7536904080346467
event_p1,1.2237566665998965,0.44678011969972214,2.7390580123000436,0.006161550015623399
event_p2,0.5914007239723729,0.2639977793853217,2.240173100506219,0.02507968727353445
event_p3,0.7229710150215178,0.32677046668027093,2.2124735517451457,0.026933961696034237
event_p4,0.727406067700994,0.27657742482651154,2.630026901715761,0.008537811172619255
event_p5,0.405873507415398,0.4001019459578428,1.0144252271598881,0.3103798917926648
size,0.5261991834310982,0.16854857552728134,3.1219438181839,0.0017966122053509432
leverage,-1.8364681654884802,1.4032187939730716,-1.3087539686442675,0.19061770403145162
