time,observed,synthetic,gap
1,8.281342947667275,6.502850943713911,1.7784920039533638
2,7.161166663415577,6.801065790455153,0.36010087296042403
3,7.582391886802917,8.021151463822282,-0.43875957701936485
4,8.19643779930995,7.259332053763301,0.9371057455466483
5,6.775339604671813,6.9761741582452,-0.20083455357338753
6,7.332408657947028,7.882603161300711,-0.5501945033536835
7,9.385157683987362,7.533359401600397,1.851798282386965
8,6.077208583694369,6.9156872082817165,-0.8384786245873475
9,8.615878353039573,8.226850149033533,0.3890282040060402
10,7.835612225525817,8.247057703522428,-0.4114454779966108
11,7.322079734610011,7.682382482115032,-0.36030274750502134
12,8.811756994695338,7.496824985598074,1.314932009097264
13,10.146094014149632,8.993440738764122,1.1526532753855108
14,8.260919234930208,8.20636819629219,0.054551038638017246
15,9.37839640571156,9.908648126844941,-0.5302517211333804
16,7.558477436067536,8.720826795330373,-1.1623493592628371
17,9.260759820471016,9.283262767990614,-0.022502947519598138
18,7.456380545464655,8.321390671421103,-0.8650101259564478
19,11.049357874509065,11.201151320076878,-0.15179344556781338
20,10.342442918246832,10.943436967512916,-0.6009940492660846
21,11.262537592174072,11.115760963833713,0.14677662834035843
22,11.70119725543396,9.650860462350675,2.050336793083286
23,9.277360031260905,10.81246609666121,-1.5351060654003046
24,11.628291926812045,9.429077134883492,2.1992147919285525
25,12.360307334129743,11.361293112483061,0.9990142216466822
26,9.2377928445218,11.608178213819244,-2.370385369297443
27,8.940164940883983,11.361057969746032,-2.4208930288620483
28,11.607059634929575,10.978257177901956,0.6288024570276196
29,11.223761893189494,11.059594268619255,0.16416762457023815
30,11.718318831539484,11.372761904743875,0.34555692679560934
31,11.406386769797072,11.996862987583022,-0.5904762177859499
32,11.261565722539611,11.332847545824269,-0.07128182328465726
33,12.586777208725035,12.024306048379458,0.5624711603455772
34,11.733416017288029,10.936752998771734,0.7966630185162948
35,12.387312331496076,11.634974685830215,0.752337645665861
36,11.125369038295872,11.991948805938382,-0.8665797676425093
