firm_id,date,calendar_year,month_index,treated,post,staggered_post,event_time,staggered_event_time,treatment_time,unit,size,leverage,instrument_z,endogenous_x,outcome_y,binary_outcome,count_outcome,multiclass_outcome,secondary_outcome,running_score,export_flow,origin_gdp,destination_gdp,distance_km,working_capital,retained_earnings,ebit,market_equity,sales,total_assets,total_liabilities,net_income,revenue,equity
firm_01,2018-01-31,2018,1,1,0,0,-18,-18.0,18.0,firm_01,8.519775911467494,0.35775901357910167,-0.1435168424451554,0.2785972991161518,8.281342947667275,0,1,0,8.061791269331776,0.7698387038457276,49.40883917797032,6707.077236995387,5124.128155689759,506.1984144232085,61057.22892506472,41137.34917451515,33273.31812219427,335260.0152858213,383648.0257341592,501293.02907292894,213372.07240418278,26375.54605689663,383648.0257341592,287920.9566687462
firm_01,2018-02-28,2018,2,1,0,0,-17,-17.0,18.0,firm_01,7.55721041465215,0.33781832214656893,1.4316570462193818,1.1977342200420291,7.161166663415577,1,3,1,7.318611368946235,-1.2578541177844715,91.97699374857942,6549.205151959514,4695.745866446325,499.9748647163789,25865.74300359386,15937.67861929455,12858.699383533743,124948.65584723122,143429.89314427826,191449.74034320377,84857.58709080162,15525.445856681252,143429.89314427826,106592.15325240215
firm_01,2018-03-31,2018,3,1,0,0,-16,-16.0,18.0,firm_01,7.823590785770317,0.3343232278441892,1.0577328335812757,0.27919715155398417,7.582391886802917,0,3,2,7.862834793778379,0.10418119166334713,57.07600314125128,6556.682201676948,5232.980863080612,507.1614318866007,32363.71438557003,20439.56234734776,16541.7141272288,172178.88113898985,188846.97245003638,249886.21962831076,107733.29948282473,11302.34191159805,188846.97245003638,142152.92014548602
firm_01,2018-04-30,2018,4,1,0,0,-15,-15.0,18.0,firm_01,8.058331858128255,0.35811107659584457,1.2478999752354007,1.693126004491981,8.19643779930995,0,1,0,8.591393326330843,-0.03710385374412964,62.46581320633146,6153.677585204073,5173.463633447217,513.0100149914846,38743.845293878185,25784.46384991348,20876.326013351547,208936.74254947563,240381.6312641816,316001.4382922193,139897.74841078912,12788.568799857552,240381.6312641816,176103.68988143018
firm_01,2018-05-31,2018,5,1,0,0,-14,-14.0,18.0,firm_01,7.790582349444769,0.3323010132904619,-0.7576141862667286,-0.6336680485148168,6.775339604671813,0,3,1,6.579443540901458,-0.28897194261763104,66.27852765987814,6317.890930335069,5393.903338564485,492.4764703621588,31111.809184562986,19983.230564093214,16142.833031463188,161540.15909079957,184913.84896508945,241772.51332008973,105571.86947679767,16352.727029225929,184913.84896508945,136200.64384329205
firm_01,2018-06-30,2018,6,1,0,0,-13,-13.0,18.0,firm_01,8.382292912367715,0.2967550203777046,0.9993160670023691,-0.1402526508296088,7.332408657947028,1,2,1,7.2307023588412,1.610069527065623,46.98808312387908,6079.331742630903,5564.469736773411,516.7979022942117,56846.90050534881,36106.332343028254,29168.072650936436,296217.28818743635,321302.196893001,436901.5219072232,194827.7331239405,28293.973187214022,321302.196893001,242073.7887832827
firm_01,2018-07-31,2018,7,1,0,0,-12,-12.0,18.0,firm_01,8.283596354996046,0.3652903550150778,0.8494519105744235,1.2847737900498406,9.385157683987362,0,5,1,9.442496052205518,1.5650457181156021,55.69756298015628,6847.48656044833,5313.3126876815,503.1845860521783,48257.00446747969,32770.69255962545,26465.26712255711,265363.41845645854,290960.9783879348,395840.46424058394,173827.29372892028,27036.352413408196,290960.9783879348,222013.17051166366
firm_01,2018-08-31,2018,8,1,0,0,-11,-11.0,18.0,firm_01,7.887258066895583,0.3441162567445512,-1.836891761801076,-1.1839305114729957,6.077208583694369,1,3,1,5.9464411345483175,-0.017746832086068226,68.34463620152061,5994.80949019463,5294.319947755545,509.4082722198322,34716.7539404328,22045.02114661751,17803.667831022263,176719.89675633676,197118.25823334279,266313.17713805055,117957.39335662939,18256.826160179702,197118.25823334279,148355.78378142117
firm_01,2018-09-30,2018,9,1,0,0,-10,-10.0,18.0,firm_01,8.065686414657932,0.335498707101331,0.1986510491706163,0.3335665962590394,8.615878353039573,1,5,1,8.650308803649217,-0.09844367857037764,82.59241325014642,6984.263541137036,5911.5957008463265,553.6147265253472,43052.73517727891,26414.408294251,21323.50284837452,216494.79295684,237833.45919777433,318334.0559034731,135184.22209391976,23601.090052602456,237833.45919777433,183149.83380955335
firm_01,2018-10-31,2018,10,1,0,0,-9,-9.0,18.0,firm_01,8.386403679396443,0.3839119099557461,2.1216286642053492,1.3008937197150663,7.835612225525817,0,5,0,7.757878633040981,-1.2063280819980449,72.61751808049789,6746.678685409361,6578.195889917603,482.1570643955006,58704.84099025859,35897.57870284135,29049.90002135933,306935.700604256,324429.1798411912,438701.2188112944,194320.75284493386,19757.09788768875,324429.1798411912,244380.46596636056
