date,prediction,signal,decile
2021-04-30,1.5153060309394306,1.0,10
2021-10-31,1.3603643542444634,1.0,10
2023-02-28,1.2630827436804988,1.0,10
2021-03-31,1.2422559879049557,1.0,10
2023-08-31,0.9458706528959865,1.0,10
2024-01-31,0.8398087542937057,1.0,10
2023-11-30,0.6615465325334772,1.0,9
2024-07-31,0.6575548118097798,1.0,9
2023-07-31,0.6288305966049725,1.0,9
2023-03-31,0.6280923797983012,1.0,9
2022-01-31,0.6070301016958224,1.0,9
2022-08-31,0.6031352988026316,1.0,9
2023-01-31,0.5453817816349199,1.0,8
2021-05-31,0.5391323821998574,1.0,8
2021-12-31,0.470861941463364,1.0,8
2023-12-31,0.41390419581047305,1.0,8
2024-05-31,0.3976768101394245,1.0,8
2022-11-30,0.3732388182846525,1.0,8
2020-12-31,0.34923799222734075,1.0,7
2024-08-31,0.3025981519613907,1.0,7
